poi_id,name,region,locality,longitude,latitude,category_level1,category_level2,category_level3,rating,rating_count,traffic_score,time_spent,weekday_avg_popularity,weekend_avg_popularity,afternoon_avg,evening_avg,morning_avg,night_avg,max_popularity,peak_hour,peak_day,popularity_variance
12,The Good Life by Sukh Chan Wellness Club,Sector FF,Lahore,74.38552714,31.46430338,Sports & Fitness,Gyms & Studios,Gym,4.5,41,33.14,People typically spend up to 1.5 hours here,49.794,58.015625,46.75914286,71.336,58.22880952,38.94803571,94.43,19,Saturday,17.51810864
13,GORGEOUS GYM,UC-1 Model Colony,Karachi,67.18346249,24.90302554,Sports & Fitness,Gyms & Studios,Gym,4.3,95,39.83,People typically spend up to 1.5 hours here,33.587,38.90833333,29.52914286,70.81285714,20.94857143,26.89696429,92.17,20,Sunday,20.58528436
14,Liaquat Gymnasium,Islamabad Capital Territory,Islamabad,73.09198254,33.70356688,Sports & Fitness,Recreation Centers,Sports complex,4.5,155,28.43,People typically spend up to 2 hours here,49.46191667,57.3475,45.37542857,72.23771429,57.02857143,38.86517857,98.25,18,Sunday,17.74363612
15,Fitnation Fitness Center Workout Studio GYM DHA Lahore,Sector C,Lahore,74.41371141,31.46261315,Sports & Fitness,Gyms & Studios,Gym,4.5,53,33,People typically spend up to 3 hours here,50.7685,57.79833333,46.82828571,72.89685714,56.97714286,40.77,100,18,Sunday,17.90263141
16,Pure Gym,Punjab,Lahore,74.31873635,31.52536149,Sports & Fitness,Gyms & Studios,Gym,4.8,114,53.67,People typically spend up to 1 hour here,50.11883333,57.78979167,45.772,71.962,58.67666667,39.34035714,96.88,18,Sunday,17.84353326
17,Signs of Spring,Sui Northern Officers Co-Operative Housing Society Phase 1,Lahore,74.39148777,31.45247521,Sports & Fitness,Gyms & Studios,Gymnastics center,4.4,25,47.71,People typically spend up to 1 hour here,33.60633333,38.22645833,29.22171429,71.47085714,22.30571429,25.11696429,100,19,Sunday,21.35902085
18,Body second,Rahim Yar Khan Tehsil,Rahim Yar Khan,70.30886459,28.4267999,Sports & Fitness,Gyms & Studios,Gym,4.1,19,52.83,People typically spend up to 1.5 hours here,38.63666667,44.27895833,54.96685714,64.43828571,26.17047619,26.49017857,96.11,17,Saturday,20.74178274
19,Velocity X,UC-1 Dehli Mercantile,Karachi,67.08573935,24.87988588,Sports & Fitness,Gyms & Studios,Gym,4.4,226,54.67,People typically spend up to 2 hours here,49.12125,56.87541667,46.02514286,70.63657143,57.35714286,38.07875,89.18,18,Monday,17.97116028
20,Next Level Fitness,Rawalpindi Tehsil,Islamabad,73.13127166,33.56416352,Sports & Fitness,Gyms & Studios,Fitness center,4.5,61,47.33,People typically spend up to 2 hours here,33.63916667,39.07416667,29.09542857,72.274,22.37857143,25.43625,91.19,20,Saturday,21.40120094
21,Sky Fitness gym,Civic Center Bahria Town,Islamabad,73.1197094,33.55038868,Sports & Fitness,Gyms & Studios,Gym,4.5,45,31.57,People typically spend up to 1.5 hours here,48.84225,59.56166667,46.576,71.65,57.60071429,38.62303571,93.76,18,Sunday,18.00831963
22,U Fitness Islamabad,Block J,Islamabad,73.05457356,33.71156329,Sports & Fitness,Gyms & Studios,Fitness center,4.2,58,25.83,People typically spend up to 2.5 hours here,32.465,39.0225,33.17514286,39.81314286,36.11047619,30.31517857,70.69,17,Sunday,12.8187747
23,IACTIVE F-6,Islamabad Capital Territory,Islamabad,73.07164076,33.72909517,Sports & Fitness,Gyms & Studios,Gym,3.7,51,32,People typically spend up to 2 hours here,50.18341667,58.71916667,47.66828571,72.41942857,58.17952381,39.17714286,100,18,Sunday,18.00163231
24,F45 Training Gulberg II,Pakistan,Lahore,74.34898931,31.53171748,Sports & Fitness,Gyms & Studios,Gym,4.9,32,44.67,People typically spend up to 4 hours here,38.98075,44.07958333,54.58171429,64.37171429,26.37738095,27.18375,98,16,Saturday,20.20804045
25,World Gym (Ladies and Gents),Punjab,Rawalpindi,73.0624924,33.65168071,Sports & Fitness,Gyms & Studios,Fitness center,5,21,36.33,People typically spend up to 2 hours here,38.45008333,44.74666667,54.59428571,61.62771429,27.48309524,27.49625,89.12,17,Saturday,19.52732321
26,Vostro World G-13,Islamabad Capital Territory,Islamabad,72.95654325,33.65373168,Sports & Fitness,Gyms & Studios,Gym,4.8,257,61.83,People typically spend up to 2 hours here,31.91933333,37.62458333,33.74314286,37.40085714,36.77357143,28.60303571,69.2,6,Sunday,13.33219065
27,Gym Buddies,Rawalpindi Tehsil,Rawalpindi,73.09921329,33.60186989,Sports & Fitness,Gyms & Studios,Gym,4.9,79,54.5,People typically spend up to 1 hour here,50.76558333,55.830625,45.99028571,74.09657143,57.43333333,38.50892857,92.43,19,Saturday,17.80748708
28,Beast Gym,Bahria Town,Rawalpindi,73.09521439,33.47855898,Sports & Fitness,Gyms & Studios,Gym,4.7,133,49,People typically spend up to 1.5 hours here,39.01375,44.80458333,55.21285714,65.23114286,27.44357143,26.14464286,91.67,16,Saturday,20.72750899
29,Minimos Play Cafe,UC-1 Dehli Mercantile,Karachi,67.08765364,24.87550474,Sports & Fitness,Recreation Centers,Indoor playground,4.7,42,29.43,People typically spend up to 1.5 hours here,32.49858333,38.65875,34.268,39.91085714,37.52952381,28.26696429,63.89,6,Sunday,13.213027
30,"Hashtag Sports for Box Cricket , Futsal",Islamabad Capital Territory,Islamabad,72.97955478,33.63870029,Sports & Fitness,Recreation Centers,Sports complex,4.6,123,22.29,People typically spend up to 2.5 hours here,33.00108333,37.615625,28.03771429,72.51285714,21.04333333,24.33196429,99.06,19,Sunday,22.00496283
31,Malik Sports Arena,Punjab,Lahore,74.2153927,31.42107678,Sports & Fitness,Recreation Centers,Sports complex,4.4,34,40.29,People typically spend up to 2.5 hours here,50.7945,57.48354167,46.01828571,72.86257143,59.12833333,39.47017857,94.34,18,Sunday,17.35244457
32,Futsalrange Wapda Town,WAPDA Town,Lahore,74.26709794,31.42998888,Sports & Fitness,Ball Sports,Futsal court,4.4,140,27.86,People typically spend up to 2.5 hours here,38.896,45.344375,55.09571429,64.60657143,26.49595238,27.52928571,96.36,17,Saturday,20.63833122
33,Epic Arena,UC-10 Clifton,Karachi,67.03563989,24.82687727,Sports & Fitness,Recreation Centers,Indoor playground,4.9,23,17.43,People typically spend up to 3 hours here,39.128,45.68145833,54.69571429,64.87514286,28.46166667,26.92321429,90.91,18,Saturday,20.10944222
34,Legends Arena,Stadium Commercial Area,Karachi,67.04816227,24.81292194,Sports & Fitness,Recreation Centers,Sports complex,4.7,361,43,People typically spend up to 2 hours here,32.706,37.90791667,33.52114286,39.55714286,36.98,29.16785714,64.65,7,Sunday,13.20822461
35,The Kings Way Wellness Studio,Sector A,Lahore,74.43690398,31.46914758,Sports & Fitness,Saunas & Spas,Spa and health club,4.8,104,50.57,People typically spend up to 2 hours here,32.09141667,38.114375,34.33314286,38.45228571,37.28404762,27.98285714,74.8,6,Saturday,13.01805944
36,"Falcon Sports Complex, AFOHS New Malir",Sector 44,Karachi,67.17267254,24.95451979,Sports & Fitness,Recreation Centers,Sports complex,4.7,41,42,People typically spend up to 2 hours here,31.75758333,39.61020833,28.57057143,70.89914286,20.4402381,24.50482143,92.99,19,Sunday,21.72387938
37,The Legacy Court - Indoor Cricket & Futsal Arena,UC-12 Gulzar-e-hiijri,Karachi,67.11455861,24.95285356,Sports & Fitness,Recreation Centers,Sports complex,4.8,126,20.57,People typically spend up to 2 hours here,32.68666667,37.33791667,33.14342857,38.94885714,36.78095238,29.40339286,69.84,6,Saturday,13.36609191
38,Inswing Sports Complex & Academy,UC-10 Pehalwan Goth,Karachi,67.14638837,24.93719198,Sports & Fitness,Recreation Centers,Sports complex,4.7,129,29.29,People typically spend up to 2.5 hours here,32.08833333,37.78229167,33.524,39.33657143,36.93714286,27.90482143,65.96,7,Sunday,13.66848274
39,PANTHERS FOOTBALL CLUB,Rawalpindi Tehsil,Rawalpindi,73.11186162,33.54772767,Sports & Fitness,Recreation Centers,Sports complex,4.3,41,56.67,People typically spend up to 2.5 hours here,50.25233333,57.62854167,47.55342857,71.62942857,59.67714286,37.83232143,95.46,18,Sunday,17.64787095
40,FISICO FITNESS GYM,Quetta,Quetta,66.98033016,30.21797085,Sports & Fitness,Gyms & Studios,Gym,4.5,51,44.33,People typically spend up to 3 hours here,49.99791667,56.88791667,45.53942857,71.77257143,57.32404762,39.58642857,96.87,17,Saturday,18.05181501
41,BOX SPORTS,Pakistan,Lahore,74.43331911,31.57137586,Sports & Fitness,Recreation Centers,Sports complex,4.5,255,35.14,People typically spend up to 2.5 hours here,38.77308333,44.346875,54.02057143,63.45314286,28.41904762,26.36142857,100,17,Sunday,19.88235931
42,Sketchone Sports Arena,Sialkot,Sialkot,74.51103494,32.46325737,Sports & Fitness,Recreation Centers,Indoor playground,4.4,42,32,People typically spend up to 3 hours here,32.60741667,38.75354167,28.24885714,72.50771429,20.41571429,24.80571429,95.03,19,Sunday,21.80480719
43,Pro Gym Multan,Shalimar Colony,Multan,71.48989142,30.23999919,Sports & Fitness,Gyms & Studios,Gym,4.8,39,41.67,People typically spend up to 1.5 hours here,39.76433333,45.684375,55.60742857,66.42885714,27.20857143,27.68821429,96.5,17,Saturday,21.11951952
44,United Sports Arena,Punjab,Lahore,74.27450161,31.57073975,Sports & Fitness,Recreation Centers,Indoor playground,4.1,78,40.57,People typically spend up to 2 hours here,32.57741667,38.37354167,35.28428571,41.06485714,36.23380952,27.80678571,70.37,16,Saturday,13.92507577
45,Fitness Formula Chapter 1,Karachi City,Karachi,67.10777066,24.95054441,Sports & Fitness,Gyms & Studios,Gym,5,80,40,People typically spend up to 1.5 hours here,32.33566667,37.96125,33.04342857,39.18085714,37.40238095,28.63696429,66.55,16,Saturday,13.68549057
46,Fitlytics Gym And Fitness Center,Muzaffarabad,Muzaffarabad,73.46221431,34.37688941,Sports & Fitness,Gyms & Studios,Fitness center,4.3,11,33.14,People typically spend up to 2 hours here,32.28891667,38.410625,27.24914286,70.30114286,21.62428571,24.92678571,95.14,19,Sunday,20.90683341
47,Total Fitness,Sector C,Lahore,74.44723094,31.46830551,Sports & Fitness,Gyms & Studios,Gym,4.8,44,24.5,People typically spend up to 1 hour here,33.2005,38.42708333,27.93885714,71.80285714,22.07452381,25.18696429,95.49,19,Saturday,21.38137532
48,Titan Fitness Gym,UC-10 Clifton,Karachi,67.03183063,24.83137247,Sports & Fitness,Gyms & Studios,Gym,4.7,104,36.33,People typically spend up to 2 hours here,39.66033333,43.98020833,54.63828571,63.75542857,26.495,28.81642857,90.39,17,Friday,19.45007827
49,United Karate Academy,Pakistan,Faisalabad,73.12206016,31.41960162,Sports & Fitness,Martial Arts & Dojos,Karate school,4,29,51.86,People typically spend up to 2 hours here,38.93691667,44.481875,54.58228571,64.67657143,27.27785714,26.56839286,94.91,18,Saturday,20.47319725
50,Shadow Fitness,Karachi City,Karachi,67.05231834,24.86362071,Sports & Fitness,Gyms & Studios,Gym,4.2,87,32,People typically spend up to 2 hours here,39.22991667,45.59770833,54.70228571,64.18742857,25.96238095,29.37,100,17,Saturday,20.15082841
51,Hanma Fitness Studio,UC-10 Pehalwan Goth,Karachi,67.12664588,24.93124011,Sports & Fitness,Gyms & Studios,Gym,4.9,86,54.67,People typically spend up to 1.5 hours here,32.80108333,37.21958333,26.99657143,72.66628571,20.76761905,24.32553571,100,19,Saturday,22.19738629
52,Shoaib Gym,Township,Lahore,74.30110736,31.46044241,Sports & Fitness,Gyms & Studios,Gym,4.4,110,39.5,People typically spend up to 1.5 hours here,33.411,38.77,29.358,72.49771429,21.41904762,25.10232143,98.23,18,Saturday,21.57786069
53,Maisha Spa & Health Club,Islamabad Capital Territory,Islamabad,73.09757259,33.71523915,Sports & Fitness,Saunas & Spas,Spa and health club,4.5,95,37,People typically spend up to 1 hour here,31.97766667,37.78875,33.12914286,38.72657143,36.36761905,28.72839286,69.47,6,Sunday,13.4786112
54,M-Fit,Karachi City,Karachi,67.10203317,24.90547777,Sports & Fitness,Gyms & Studios,Gym,4.8,61,47.5,People typically spend up to 1.5 hours here,38.63466667,43.90770833,54.05057143,63.97885714,25.95952381,27.18571429,95.15,18,Sunday,20.02342943
55,Muscle Bar,Punjab,Lahore,74.38477126,31.49212988,Sports & Fitness,Gyms & Studios,Fitness center,4.3,68,42.17,People typically spend up to 1.5 hours here,32.45691667,37.748125,27.73885714,72.64628571,20.40380952,23.8625,89.66,20,Saturday,22.42998107
56,Mega Arena,Pakistan,Lahore,74.42599991,31.47260415,Sports & Fitness,Recreation Centers,Indoor playground,4.5,137,44.43,People typically spend up to 2.5 hours here,33.18883333,38.32520833,29.20657143,71.17714286,21.14166667,25.37303571,93.61,19,Sunday,21.18829172
57,OXYGEN MUSCLE FACTORY SIALKOT,Sialkot Cantonment,Sialkot,74.55622884,32.51680364,Sports & Fitness,Gyms & Studios,Gym,4.7,59,43.83,People typically spend up to 2 hours here,39.45775,45.45645833,54.62457143,65.42342857,26.14380952,28.87714286,100,17,Saturday,20.4932178
58,The Yoga Bliss Studio & School,Sindh,Karachi,67.0625582,24.79142274,Sports & Fitness,Gyms & Studios,Yoga studio,5,50,26.57,People typically spend up to 2 hours here,33.04583333,37.56354167,28.74771429,73.358,20.16214286,24.07214286,95.65,19,Sunday,22.23248801
59,Nitrogen Fitness and Wellness,Karachi City,Karachi,67.02782938,24.91231783,Sports & Fitness,Gyms & Studios,Gym,4.4,101,45,People typically spend up to 2 hours here,49.99658333,57.52270833,46.28742857,70.78457143,58.42261905,39.45375,98.08,17,Sunday,17.65716441
60,Oxygen Gym,Punjab,Gujranwala,74.20059222,32.17689942,Sports & Fitness,Gyms & Studios,Gym,4.7,160,63.67,People typically spend up to 1 hour here,33.04641667,37.176875,28.67457143,71.78942857,19.85619048,24.9975,100,19,Sunday,21.49776482
61,CORE,UC-10 Clifton,Karachi,67.03293724,24.82392517,Sports & Fitness,Gyms & Studios,Gym,4.5,164,48.29,People typically spend up to 2.5 hours here,32.54641667,37.54770833,33.14828571,37.868,37.67666667,29.28339286,67.22,6,Saturday,12.97717161
62,Times Fitness Gym,Sector Q,Lahore,74.40605551,31.48359711,Sports & Fitness,Gyms & Studios,Gym,4.5,177,49.71,People typically spend up to 1.5 hours here,38.9955,45.1,55.11171429,65.06914286,27.79142857,26.26232143,96.98,17,Sunday,20.6904394
63,OX gym and Fitness centre,Wah Cantt,Wah Cantt,72.77549571,33.74484895,Sports & Fitness,Gyms & Studios,Gym,4.6,204,34.33,People typically spend up to 2.5 hours here,49.85891667,58.4025,47.24171429,72.91285714,57.96571429,38.32892857,100,18,Saturday,17.67847612
64,Sargodha Gymkhana Club,Sargodha,Sargodha,72.67187922,32.07718237,Sports & Fitness,Gyms & Studios,Fitness center,4.3,1297,39.57,People typically spend up to 2 hours here,32.5135,36.09104167,32.88428571,40.20485714,35.18690476,28.53607143,66.71,17,Sunday,13.28332608
65,Shahid International Gym,Shakrial,Rawalpindi,73.10373294,33.62931614,Sports & Fitness,Gyms & Studios,Gym,4.6,151,43.57,People typically spend up to 30 min here,32.05741667,37.52395833,32.95342857,38.95514286,36.73190476,28.36607143,62.53,16,Saturday,12.84684894
66,Royal Massage centre Faisalabad,Pakistan,Faisalabad,73.14938567,31.42714029,Sports & Fitness,Saunas & Spas,Spa and health club,3.9,59,34.86,People typically spend up to 1.5 hours here,33.26291667,37.88,28.66085714,71.82171429,21.11571429,25.10785714,98.96,19,Saturday,21.47723663
67,Crossfit Gym DHA Phase 4 Branch,Sector CCA,Lahore,74.38260733,31.46296322,Sports & Fitness,Gyms & Studios,Gym,4.6,220,44.17,People typically spend up to 2 hours here,32.762,38.76208333,28.41428571,72.70628571,19.74047619,25.42321429,100,18,Saturday,22.41226433
68,Vortex Gym,UC-3 Gadap,Karachi,67.30652553,25.05961622,Sports & Fitness,Gyms & Studios,Gym,4.9,123,33,People typically spend up to 1.5 hours here,32.62975,36.86770833,27.30057143,71.47857143,20.26547619,24.58571429,98.78,18,Sunday,21.57587019
69,Rose Palace Gym (Gulberg),Pakistan,Lahore,74.35301485,31.52259814,Sports & Fitness,Gyms & Studios,Gym,4.4,551,42.86,People typically spend up to 45 min here,49.09983333,58.0175,45.11542857,72.26685714,57.33642857,38.57696429,94.14,17,Sunday,18.02075024
70,Go Lean 360 Gym / Physical Fitness Center,UC-5 Gulshan-e-iqbal 1,Karachi,67.08366191,24.91998057,Sports & Fitness,Gyms & Studios,Fitness center,4.7,221,40.67,People typically spend up to 1.5 hours here,49.47925,57.14625,46.17171429,72.38571429,56.76952381,38.33392857,95.78,19,Saturday,18.17787134
71,Cross-Fit Gym & Fitness Center MDA Branch,Shadab Colony,Multan,71.44857987,30.20897751,Sports & Fitness,Gyms & Studios,Fitness center,4.4,224,52.83,People typically spend up to 1 hour here,32.87816667,38.08916667,28.18314286,71.54314286,21.69428571,24.50142857,92.8,18,Sunday,21.36331041
72,Shapes Health Club / Gym & Fitness Centre,Sindh,Karachi,67.03812624,24.8418682,Sports & Fitness,Gyms & Studios,Fitness center,4.3,920,47.17,People typically spend up to 2 hours here,33.35358333,38.77833333,28.95057143,73.16571429,21.37571429,24.85607143,96.01,20,Sunday,21.80777105
73,Rumanza Golf & Country Club,Pakistan,Multan,71.53270044,30.32509682,Sports & Fitness,Golf & Driving Ranges,Golf course,4.6,567,59.86,People typically spend up to 4 hours here,39.1915,45.3175,55.17057143,65.48942857,27.01,27.15535714,91.98,17,Saturday,20.30703024
74,Metafitnosis,Islamabad Capital Territory,Islamabad,73.07571716,33.7309306,Sports & Fitness,Gyms & Studios,Gym,4.9,434,40.67,People typically spend up to 1.5 hours here,38.69283333,43.08083333,53.968,63.28257143,25.23833333,27.62928571,92.09,18,Sunday,19.73979536
75,Cross-Fit Gym & Fitness Center Gulgasht Branch,Taraf Mubarik Doim,Multan,71.47044745,30.22238624,Sports & Fitness,Gyms & Studios,Gym,4.7,168,34.5,People typically spend up to 1.5 hours here,48.92075,57.51020833,45.47485714,71.45457143,56.66095238,38.54803571,95.64,18,Saturday,17.78652218
76,Health and Fitness Center Jacaranda Family Club,Sector E,Islamabad,73.1596424,33.53405572,Sports & Fitness,Gyms & Studios,Gym,4.5,191,50.5,People typically spend up to 1.5 hours here,39.147,45.35270833,53.79914286,64.874,27.53071429,27.94142857,92.34,18,Sunday,19.87752049
77,Oxygen Spa,Sindh,Karachi,67.06183938,24.7954584,Sports & Fitness,Saunas & Spas,Spa,4,548,63.29,People typically spend up to 2 hours here,49.56616667,57.47416667,45.17,71.36314286,58.3097619,38.91125,94.48,17,Saturday,17.728584
78,Hamza Fitness Club,Pakistan,Faisalabad,73.09939384,31.46082936,Sports & Fitness,Gyms & Studios,Gym,4.7,46,45.17,People typically spend up to 1 hour here,40.17566667,45.76208333,54.90085714,64.556,28.41619048,29.34267857,93.25,17,Saturday,19.56028328
79,Body Fitness Gym,Rahim Yar Khan Tehsil,Rahim Yar Khan,70.31660659,28.4087514,Sports & Fitness,Gyms & Studios,Gym,4.9,151,33.29,People typically spend up to 45 min here,33.00158333,38.59541667,34.50828571,39.068,37.60404762,29.61125,72.4,6,Saturday,13.28757614
80,Structure Health & Fitness DHA Lahore,Sector CCA,Lahore,74.38365511,31.46420121,Sports & Fitness,Gyms & Studios,Gym,4.2,127,57.5,People typically spend up to 1.5 hours here,38.88033333,45.63416667,55.01114286,64.64,26.13952381,28.04339286,99.4,17,Saturday,20.07274558
81,StayFit Fitness,Satellite Town,Rawalpindi,73.06456832,33.63803047,Sports & Fitness,Gyms & Studios,Gym,4.8,310,34.33,People typically spend up to 2 hours here,38.59916667,43.17270833,52.74942857,64.30942857,26.85404762,26.41535714,100,17,Saturday,20.14993358
82,Get Smart Gym Ph1,Sindh,Karachi,67.06351543,24.83836142,Sports & Fitness,Gyms & Studios,Fitness center,4.2,462,41.33,People typically spend up to 1.5 hours here,49.54091667,58.18041667,46.49628571,71.85285714,57.48571429,38.94553571,100,18,Saturday,18.03556643
83,Fitness Xpose,PMCHS,Islamabad,72.96450559,33.6956574,Sports & Fitness,Gyms & Studios,Gym,4.6,102,33,People typically spend up to 1.5 hours here,32.72158333,37.18666667,32.52828571,40.18657143,37.41214286,28.48607143,65.11,7,Saturday,13.32592572
84,Get Smart Gym Ph5,Stadium Commercial Area,Karachi,67.04728842,24.81453134,Sports & Fitness,Gyms & Studios,Gym,4.2,63,30.5,People typically spend up to 2 hours here,49.47475,57.42604167,46.30342857,72.46285714,57.75452381,37.69482143,90.75,18,Monday,18.08410908
85,Bodyzone Gym,Pakistan,Lahore,74.31143064,31.47997915,Sports & Fitness,Gyms & Studios,Gym,4.4,109,31.67,People typically spend up to 1.5 hours here,39.21591667,45.79583333,55.22485714,64.35285714,27.52166667,27.91035714,94.11,17,Saturday,20.33831431
86,Body Reshaping Studio,Shalley Valley,Rawalpindi,73.01592131,33.59846563,Sports & Fitness,Gyms & Studios,Gym,4.7,179,32.43,People typically spend up to 1.5 hours here,50.20358333,57.8575,48.698,72.30371429,57.07690476,38.7375,92.45,18,Sunday,17.32821939
87,Total Football Ayub Park,Ayub National Park,Rawalpindi,73.07937777,33.56464587,Sports & Fitness,Ball Sports,Futsal court,4.5,118,18.14,People typically spend up to 3 hours here,39.63658333,44.76208333,54.75885714,65.10885714,26.52285714,28.49357143,93.47,17,Sunday,20.25033113
88,The Fitness Hub,Punjab,Islamabad,73.15191677,33.56747152,Sports & Fitness,Gyms & Studios,Gym,4.5,91,42.67,People typically spend up to 2.5 hours here,49.91258333,58.54979167,46.85771429,71.426,59.24404762,38.78071429,94.51,18,Saturday,17.5710676
89,Velocity Health & Fitness,Punjab,Lahore,74.31328221,31.46714241,Sports & Fitness,Gyms & Studios,Gym,4.6,235,34.5,People typically spend up to 1.5 hours here,39.08225,46.04354167,54.11285714,65.106,27.7902381,27.85910714,97.08,17,Saturday,20.17582774
90,Power Muscles Gym,Pakistan,Lahore,74.36205362,31.37481452,Sports & Fitness,Gyms & Studios,Gym,4.7,152,44.67,People typically spend up to 1.5 hours here,38.10875,44.78729167,54.22857143,64.69685714,25.42119048,26.65642857,94.96,18,Sunday,20.53342159
91,AimFit Fitness Studio,Pakistan,Lahore,74.31912256,31.50197195,Sports & Fitness,Gyms & Studios,Fitness center,4.5,203,37.17,People typically spend up to 1.5 hours here,32.12975,37.74333333,33.39171429,38.00714286,37.02904762,28.80482143,68.81,6,Sunday,13.31981197
92,Obee’s fitness center,Rawalpindi Tehsil,Rawalpindi,73.05703828,33.57028325,Sports & Fitness,Gyms & Studios,Gym,4.5,115,47.33,People typically spend up to 1.5 hours here,39.517,45.77604167,55.52228571,65.22742857,27.1297619,28.1,95.78,17,Sunday,20.21374003
93,Al Fahd Spa & Fitness Club,Pakistan,Faisalabad,73.11327454,31.41273413,Sports & Fitness,Gyms & Studios,Gym,4.2,303,33.29,People typically spend up to 2 hours here,32.36475,37.496875,32.752,39.23314286,37.15428571,28.63678571,67.72,5,Sunday,13.72906476
94,Ayub Bally Total Fitness,Punjab,Gujrat,74.07380048,32.58155853,Sports & Fitness,Gyms & Studios,Fitness center,4.4,93,41.83,People typically spend up to 2 hours here,38.9985,45.39020833,54.52028571,64.27628571,27.52095238,27.58553571,100,17,Saturday,20.35547824
95,Activo Fitness Gym/Studio in DHA Lahore,Sector FF,Lahore,74.38570286,31.46440944,Sports & Fitness,Gyms & Studios,Gym,4.3,320,72.17,People typically spend up to 1.5 hours here,32.62058333,37.938125,32.03857143,39.23628571,37.89238095,29.45357143,72.33,6,Saturday,12.67710908
96,Faisal Fitness Gym (for male and female) فیصل فٹنس جیم,UC-5 Madina Colony,Karachi,66.98169537,24.95571029,Sports & Fitness,Gyms & Studios,Gym,4.9,72,31.29,People typically spend up to 1.5 hours here,33.57833333,37.34208333,29.61457143,72.82371429,19.8952381,25.01571429,100,19,Sunday,22.06116303
97,Muscle Build Gym,Pakistan,Jhelum,73.72405923,32.93417423,Sports & Fitness,Gyms & Studios,Gym,4.5,133,39.17,People typically spend up to 1 hour here,32.86158333,38.02979167,28.56542857,72.35228571,20.02785714,24.92017857,100,19,Saturday,21.79879655
98,City Sports Gym,Shaheenabad,Gujranwala,74.17663934,32.19150912,Sports & Fitness,Gyms & Studios,Gym,3,2,33.67,People typically spend up to 4 hours here,39.0875,46.61208333,55.72942857,65.71542857,26.36190476,28.03767857,96.92,17,Sunday,20.95055057
